demo	sceneChanged	total	animated
official-gauge-simple	false	91	1
official-gauge-speed	CRASHED	0	0
official-gauge-speed	false	70	1
official-gauge-stage	CRASHED	0	0
official-gauge-stage	false	92	1
official-gauge-grade	CRASHED	0	0
official-gauge-grade	false	77	1
official-gauge-multi-title	CRASHED	0	0
official-gauge-multi-title	false	102	0
official-gauge-temperature	CRASHED	0	0
official-gauge-temperature	false	111	1
official-gauge-barometer	CRASHED	0	0
official-gauge-barometer	false	146	1
official-gauge-clock	CRASHED	0	0
official-gauge-clock	false	120	0
official-gauge-car	CRASHED	0	0
official-gauge-car	false	200	0
official-pictorialBar-bar-transition	CRASHED	0	0
official-pictorialBar-bar-transition	true	116	81
official-pictorialBar-body-fill	CRASHED	0	0
official-pictorialBar-body-fill	false	75	2
official-pictorialBar-dotted	CRASHED	0	0
official-pictorialBar-dotted	true	694	20
official-pictorialBar-forest	CRASHED	0	0
official-pictorialBar-forest	false	78	0
official-pictorialBar-hill	CRASHED	0	0
official-pictorialBar-hill	true	22	0
official-pictorialBar-vehicle	CRASHED	0	0
official-pictorialBar-vehicle	true	116	81
official-pictorialBar-velocity	CRASHED	0	0
official-pictorialBar-velocity	false	83	0
official-themeRiver-basic	CRASHED	0	0
official-themeRiver-basic	true	69	5
official-themeRiver-lastfm	CRASHED	0	0
official-themeRiver-lastfm	false	63	0
official-calendar-pie	CRASHED	0	0
official-calendar-pie	true	198	84
official-calendar-charts	CRASHED	0	0
official-calendar-charts	false	512	93
official-calendar-heatmap	CRASHED	0	0
official-calendar-heatmap	false	788	0
official-calendar-vertical	CRASHED	0	0
official-calendar-vertical	false	2315	0
official-calendar-graph	CRASHED	0	0
official-calendar-graph	false	156	0
official-calendar-simple	CRASHED	0	0
official-calendar-simple	false	768	0
official-calendar-horizontal	CRASHED	0	0
official-calendar-horizontal	false	2315	0
official-calendar-lunar	CRASHED	0	0
official-calendar-lunar	false	204	0
official-calendar-effectscatter	CRASHED	0	0
official-calendar-effectscatter	true	508	48
official-matrix-sparkline	CRASHED	0	0
official-matrix-sparkline	false	503	0
official-matrix-mini-bar-geo	CRASHED	0	0
official-matrix-mini-bar-geo	true	884	20
official-matrix-stock	CRASHED	0	0
official-matrix-stock	false	2008	723
official-matrix-simple	CRASHED	0	0
official-matrix-simple	false	51	0
official-matrix-covariance	CRASHED	0	0
official-matrix-covariance	false	1266	0
official-matrix-graph	CRASHED	0	0
official-matrix-graph	false	42	0
official-matrix-pie	CRASHED	0	0
official-matrix-pie	true	215	54
official-matrix-confusion	CRASHED	0	0
official-matrix-confusion	false	26	0
official-matrix-grid-layout	CRASHED	0	0
official-matrix-grid-layout	false	287	0
official-matrix-periodic-table	CRASHED	0	0
official-matrix-periodic-table	false	346	0
official-matrix-mini-bar-data-collection	CRASHED	0	0
official-matrix-mini-bar-data-collection	false	156	0
official-chord-simple	CRASHED	0	0
official-chord-simple	true	25	5
official-chord-minAngle	CRASHED	0	0
official-chord-minAngle	true	35	7
official-chord-lineStyle-color	CRASHED	0	0
official-chord-lineStyle-color	true	47	15
official-chord-style	CRASHED	0	0
official-chord-style	true	48	16
official-custom-hexbin	CRASHED	0	0
official-custom-hexbin	false	1206	0
official-custom-calendar-icon	CRASHED	0	0
official-custom-calendar-icon	false	157	0
official-bar-histogram	CRASHED	0	0
official-bar-histogram	false	184	0
official-custom-profit	CRASHED	0	0
official-custom-profit	false	60	0
official-custom-error-scatter	CRASHED	0	0
official-custom-error-scatter	false	240	17
official-custom-bar-trend	CRASHED	0	0
official-custom-bar-trend	true	153	0
official-custom-cartesian-polygon	CRASHED	0	0
official-custom-cartesian-polygon	false	63	1
official-custom-error-bar	CRASHED	0	0
official-custom-error-bar	true	139	0
official-custom-profile	CRASHED	0	0
official-custom-profile	false	74	0
official-custom-gantt-flight	CRASHED	0	0
official-custom-gantt-flight	false	178	0
official-custom-polar-heatmap	CRASHED	0	0
official-custom-polar-heatmap	true	58	0
official-flame-graph	CRASHED	0	0
official-flame-graph	false	548	0
official-custom-wind	CRASHED	0	0
official-custom-wind	false	65612	0
official-custom-gauge	CRASHED	0	0
official-custom-gauge	false	9	1
official-geo-svg-custom-effect	CRASHED	0	0
official-geo-svg-custom-effect	false	3111	0
official-pie-parliament-transition	CRASHED	0	0
official-pie-parliament-transition	false	7	0
official-circle-packing-with-d3	CRASHED	0	0
official-circle-packing-with-d3	false	530	0
official-cycle-plot	CRASHED	0	0
official-cycle-plot	true	80	18
official-wind-barb	CRASHED	0	0
official-wind-barb	false	249	0
official-custom-spiral-race	CRASHED	0	0
